Formula,Query Result,Total Evaluation Time
Raft-PT-03-CTLCardinality-3,,
Raft-PT-03-CTLCardinality-4,,
Raft-PT-03-CTLCardinality-5,,
Raft-PT-03-CTLCardinality-6,FALSE,0.485
Raft-PT-03-CTLCardinality-7,,
Raft-PT-03-CTLCardinality-8,,
Railroad-PT-010-CTLCardinality-0,FALSE,80618.1
Railroad-PT-010-CTLCardinality-9,TRUE,80249.9
Railroad-PT-010-CTLCardinality-10,FALSE,80352.6
Railroad-PT-010-CTLCardinality-11,FALSE,167427
Railroad-PT-010-CTLCardinality-12,FALSE,85674.1
Railroad-PT-010-CTLCardinality-13,TRUE,0.862
Railroad-PT-010-CTLCardinality-14,FALSE,26267
Railroad-PT-010-CTLCardinality-15,TRUE,75526.3
Railroad-PT-010-CTLCardinality-1,TRUE,0.624
Railroad-PT-010-CTLCardinality-2,TRUE,0.402
Railroad-PT-010-CTLCardinality-3,FALSE,162040
Railroad-PT-010-CTLCardinality-4,FALSE,0.423
Railroad-PT-010-CTLCardinality-5,FALSE,83120.8
Railroad-PT-010-CTLCardinality-6,TRUE,0.611
Railroad-PT-010-CTLCardinality-7,FALSE,75019.9
Railroad-PT-010-CTLCardinality-8,FALSE,0.431
ResAllocation-PT-R020C002-CTLCardinality-0,FALSE,2.39
ResAllocation-PT-R020C002-CTLCardinality-9,TRUE,8.285
ResAllocation-PT-R020C002-CTLCardinality-10,,
ResAllocation-PT-R020C002-CTLCardinality-11,FALSE,1.021
ResAllocation-PT-R020C002-CTLCardinality-12,FALSE,1.598
ResAllocation-PT-R020C002-CTLCardinality-13,,
ResAllocation-PT-R020C002-CTLCardinality-14,,
ResAllocation-PT-R020C002-CTLCardinality-15,,
ResAllocation-PT-R020C002-CTLCardinality-1,FALSE,2.246
ResAllocation-PT-R020C002-CTLCardinality-2,,
ResAllocation-PT-R020C002-CTLCardinality-3,TRUE,0.785
ResAllocation-PT-R020C002-CTLCardinality-4,TRUE,0.702
ResAllocation-PT-R020C002-CTLCardinality-5,FALSE,1.515
ResAllocation-PT-R020C002-CTLCardinality-6,TRUE,0.812
